,Minimum,Average,Maximum,Std. Dev.,Std. Err.,,,,,,,,,,,,,,,,,,,,,,
Channel 1,0,113683.93,171920,21670.8,1247.01,,,,,,,,,,,,,,,,,,,,,,
Channel 2,0,9173.55,15336,2218.13,127.64,,,,,,,,,,,,,,,,,,,,,,
Channel 3,0,1742.93,3256,805.49,46.35,,,,,,,,,,,,,,,,,,,,,,
Channel 4,0,237.65,531,143.54,8.26,,,,,,,,,,,,,,,,,,,,,,
Channel 5,0,73.53,164,48.72,2.8,,,,,,,,,,,,,,,,,,,,,,
Channel 6,0,5.73,17,4.72,0.27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record #,Location,Date & Time,Instrument Status,Sample Time,Laser Status,Ch1 Size (um),Ch1 Differential,Ch1 Alarm,Ch2 Size (um),Ch2 Differential,Ch2 Alarm,Ch3 Size (um),Ch3 Differential,Ch3 Alarm,Ch4 Size (um),Ch4 Differential,Ch4 Alarm,Ch5 Size (um),Ch5 Differential,Ch5 Alarm,Ch6 Size (um),Ch6 Differential,Ch6 Alarm,Flow Status,Volume(ft3),Temperature(¡F),Humidity(%)
76,supply,10/3/14 11:27,(ok),0:01:00,OK,0.3,107167,,0.5,9715,,1,2381,,2.5,382,,5,103,,10,7,,OK,0.1,N/A,0
77,supply,10/3/14 11:28,(ok),0:01:00,OK,0.3,104746,,0.5,9721,,1,2458,,2.5,342,,5,92,,10,7,,OK,0.1,N/A,0
78,supply,10/3/14 11:29,(ok),0:01:00,OK,0.3,107792,,0.5,9577,,1,2388,,2.5,310,,5,101,,10,7,,OK,0.1,N/A,0
79,supply,10/3/14 11:30,(ok),0:01:00,OK,0.3,120516,,0.5,10957,,1,2821,,2.5,460,,5,107,,10,7,,OK,0.1,N/A,0
80,supply,10/3/14 11:31,(ok),0:01:00,OK,0.3,113561,,0.5,11464,,1,3069,,2.5,426,,5,164,,10,10,,OK,0.1,N/A,0
81,supply,10/3/14 11:32,(ok),0:01:00,OK,0.3,115761,,0.5,11524,,1,3091,,2.5,531,,5,149,,10,15,,OK,0.1,N/A,0
82,supply,10/3/14 11:33,(ok),0:01:00,OK,0.3,112156,,0.5,10348,,1,2491,,2.5,377,,5,101,,10,12,,OK,0.1,N/A,0
83,supply,10/3/14 11:34,(ok),0:01:00,OK,0.3,112575,,0.5,10085,,1,2247,,2.5,323,,5,88,,10,8,,OK,0.1,N/A,0
84,supply,10/3/14 11:35,(ok),0:01:00,OK,0.3,111012,,0.5,10718,,1,2259,,2.5,277,,5,76,,10,3,,OK,0.1,N/A,0
85,supply,10/3/14 11:36,(ok),0:01:00,OK,0.3,107939,,0.5,9680,,1,2064,,2.5,299,,5,83,,10,2,,OK,0.1,N/A,0
86,supply,10/3/14 11:37,(ok),0:01:00,OK,0.3,113020,,0.5,9774,,1,2115,,2.5,283,,5,77,,10,4,,OK,0.1,N/A,0
87,supply,10/3/14 11:38,(ok),0:01:00,OK,0.3,133781,,0.5,10885,,1,2079,,2.5,261,,5,73,,10,3,,OK,0.1,N/A,0
88,supply,10/3/14 11:39,(ok),0:01:00,OK,0.3,132154,,0.5,10810,,1,2118,,2.5,257,,5,75,,10,12,,OK,0.1,N/A,0
89,supply,10/3/14 11:40,(ok),0:01:00,OK,0.3,120456,,0.5,9698,,1,2094,,2.5,273,,5,103,,10,0,,OK,0.1,N/A,0
90,supply,10/3/14 11:41,(ok),0:01:00,OK,0.3,116473,,0.5,9676,,1,2004,,2.5,257,,5,62,,10,3,,OK,0.1,N/A,0
91,supply,10/3/14 11:42,(ok),0:01:00,OK,0.3,118563,,0.5,9949,,1,2149,,2.5,299,,5,81,,10,6,,OK,0.1,N/A,0
92,supply,10/3/14 11:43,(ok),0:01:00,OK,0.3,118227,,0.5,10240,,1,2332,,2.5,327,,5,101,,10,4,,OK,0.1,N/A,0
93,supply,10/3/14 11:44,(ok),0:01:00,OK,0.3,117181,,0.5,9946,,1,1959,,2.5,278,,5,66,,10,6,,OK,0.1,N/A,0
94,supply,10/3/14 11:45,(ok),0:01:00,OK,0.3,124032,,0.5,10137,,1,2086,,2.5,270,,5,104,,10,6,,OK,0.1,N/A,0
95,supply,10/3/14 11:46,(ok),0:01:00,OK,0.3,131714,,0.5,10136,,1,2006,,2.5,248,,5,84,,10,4,,OK,0.1,N/A,0
96,supply,10/3/14 11:47,(ok),0:01:00,OK,0.3,157456,,0.5,11301,,1,1920,,2.5,273,,5,74,,10,5,,OK,0.1,N/A,0
97,supply,10/3/14 11:48,(ok),0:01:00,OK,0.3,129841,,0.5,10199,,1,2256,,2.5,282,,5,83,,10,7,,OK,0.1,N/A,0
98,supply,10/3/14 11:49,(ok),0:01:00,OK,0.3,126497,,0.5,9704,,1,2194,,2.5,333,,5,98,,10,7,,OK,0.1,N/A,0
99,supply,10/3/14 11:50,(ok),0:01:00,OK,0.3,139087,,0.5,11396,,1,2513,,2.5,383,,5,108,,10,10,,OK,0.1,N/A,0
100,supply,10/3/14 11:51,(ok),0:01:00,OK,0.3,158040,,0.5,15215,,1,2882,,2.5,395,,5,114,,10,12,,OK,0.1,N/A,0
101,supply,10/3/14 11:52,(ok),0:01:00,OK,0.3,171920,,0.5,14415,,1,2395,,2.5,303,,5,102,,10,11,,OK,0.1,N/A,0
